,date,team,opponent,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
49,2022-08-30,Southampton,Chelsea,GavinBazunu,KyleWalker-Peters,MohammedSalisu,ArmelBella-Kotchap,RomainPerraud,MohamedElyounoussi,RoméoLavia,IbrahimaDiallo,JamesWard-Prowse,AdamArmstrong,ChéAdams,ÉdouardMendy,ThiagoSilva,CésarAzpilicueta,MarcCucurella,KalidouKoulibaly,RubenLoftus-Cheek,MasonMount,HakimZiyech,Jorginho,RaheemSterling,KaiHavertz
50,2022-09-03,Aston Villa,Manchester City,EmilianoMartínez,LucasDigne,TyroneMings,EzriKonsa,MattyCash,JohnMcGinn,DouglasLuiz,JacobRamsey,BoubacarKamara,LeonBailey,OllieWatkins,Ederson,JohnStones,RúbenDias,KyleWalker,JoãoCancelo,KevinDeBruyne,IlkayGündogan,Rodri,PhilFoden,BernardoSilva,ErlingHaaland
51,2022-09-03,Brentford,Leeds United,DavidRaya,PontusJansson,AaronHickey,BenMee,RicoHenry,MathiasJensen,VitalyJanelt,ShandonBaptiste,BryanMbeumo,KeaneLewis-Potter,IvanToney,IllanMeslier,CodyDrameh,DiegoLlorente,RobinKoch,PascalStruijk,JackHarrison,TylerAdams,LuisSinisterra,MarcRoca,BrendenAaronson,JoeGelhardt
52,2022-09-04,Brighton & Hove Albion,Leicester City,RobertSánchez,AdamWebster,JoëlVeltman,LewisDunk,MoisésCaicedo,PascalGroß,SollyMarch,LeandroTrossard,AlexisMacAllister,DannyWelbeck,EnockMwepu,DannyWard,JamesJustin,LukeThomas,WilfredNdidi,JonnyEvans,YouriTielemans,JamesMaddison,BoubakarySoumaré,HarveyBarnes,PatsonDaka,KelechiIheanacho
53,2022-09-03,Chelsea,West Ham United,ÉdouardMendy,KalidouKoulibaly,ThiagoSilva,WesleyFofana,ReeceJames,MarcCucurella,RubenLoftus-Cheek,MateoKovacic,ConorGallagher,ChristianPulisic,RaheemSterling,LukaszFabianski,Emerson,ThiloKehrer,KurtZouma,DeclanRice,TomásSoucek,VladimírCoufal,PabloFornals,LucasPaquetá,JarrodBowen,MichailAntonio
54,2022-09-03,Everton,Liverpool,JordanPickford,NathanPatterson,ConorCoady,JamesTarkowski,VitaliiMykolenko,AmadouOnana,AlexIwobi,TomDavies,NealMaupay,DemaraiGray,AnthonyGordon,Alisson,JoeGomez,TrentAlexander-Arnold,KonstantinosTsimikas,VirgilvanDijk,HarveyElliott,FábioCarvalho,Fabinho,MohamedSalah,LuisDíaz,DarwinNúñez
55,2022-09-04,Manchester United,Arsenal,DaviddeGea,RaphaëlVarane,LisandroMartínez,DiogoDalot,TyrellMalacia,Antony,ChristianEriksen,JadonSancho,ScottMcTominay,BrunoFernandes,MarcusRashford,AaronRamsdale,BenWhite,WilliamSaliba,OleksandrZinchenko,GabrielMagalhães,MartinØdegaard,GranitXhaka,AlbertSambiLokonga,BukayoSaka,GabrielJesus,GabrielMartinelli
56,2022-09-03,Newcastle United,Crystal Palace,NickPope,KieranTrippier,FabianSchär,SvenBotman,MattTargett,Joelinton,SeanLongstaff,JoeWillock,AlexanderIsak,RyanFraser,MiguelAlmirón,VicenteGuaita,JoachimAndersen,MarcGuéhi,JoelWard,TyrickMitchell,JeffreySchlupp,EberechiEze,CheickDoucouré,JordanAyew,WilfriedZaha,Jean-PhilippeMateta
57,2022-09-03,Nottingham Forest,Bournemouth,DeanHenderson,SteveCook,ScottMcKenna,JoeWorrall,NecoWilliams,RyanYates,CheikhouKouyaté,RenanLodi,MorganGibbs-White,JesseLingard,BrennanJohnson,Neto,JordanZemura,ChrisMepham,AdamSmith,LloydKelly,JeffersonLerma,PhilipBilling,MarcusTavernier,RyanChristie,LewisCook,DominicSolanke
58,2022-09-03,Tottenham Hotspur,Fulham,HugoLloris,EricDier,CristianRomero,ClémentLenglet,Pierre-EmileHøjbjerg,RodrigoBentancur,RyanSessegnon,EmersonRoyal,SonHeung-Min,HarryKane,Richarlison,BerndLeno,TimReam,TosinAdarabioyo,AntoneeRobinson,KennyTete,HarrisonReed,BobbyDeCordova-Reid,NeeskensKebano,AndreasPereira,JoãoPalhinha,AleksandarMitrovic
59,2022-09-03,Wolverhampton Wanderers,Southampton,JoséSá,NathanCollins,MaximilianKilman,Jonny,RayanAït-Nouri,RúbenNeves,MatheusNunes,JoãoMoutinho,PedroNeto,SasaKalajdzic,DanielPodence,GavinBazunu,RomainPerraud,KyleWalker-Peters,MohammedSalisu,ArmelBella-Kotchap,IbrahimaDiallo,JamesWard-Prowse,JoeAribo,AdamArmstrong,MohamedElyounoussi,ChéAdams
60,2023-03-01,Arsenal,Everton,AaronRamsdale,BenWhite,OleksandrZinchenko,GabrielMagalhães,WilliamSaliba,MartinØdegaard,Jorginho,GranitXhaka,GabrielMartinelli,BukayoSaka,LeandroTrossard,JordanPickford,MichaelKeane,VitaliiMykolenko,JamesTarkowski,SéamusColeman,AlexIwobi,DwightMcNeil,AmadouOnana,AbdoulayeDoucouré,IdrissaGueye,NealMaupay
61,2023-01-18,Crystal Palace,Manchester United,VicenteGuaita,MarcGuéhi,ChrisRichards,TyrickMitchell,NathanielClyne,OdsonneÉdouard,WilfriedZaha,CheickDoucouré,MichaelOlise,WillHughes,Jean-PhilippeMateta,DaviddeGea,RaphaëlVarane,LisandroMartínez,LukeShaw,AaronWan-Bissaka,MarcusRashford,Antony,ChristianEriksen,BrunoFernandes,Casemiro,WoutWeghorst
62,2023-01-12,Fulham,Chelsea,BerndLeno,KennyTete,AntoneeRobinson,TimReam,TosinAdarabioyo,Willian,HarrisonReed,BobbyDeCordova-Reid,JoãoPalhinha,AndreasPereira,CarlosVinícius,KepaArrizabalaga,ThiagoSilva,TrevohChalobah,KalidouKoulibaly,MateoKovacic,LewisHall,DenisZakaria,CésarAzpilicueta,MasonMount,KaiHavertz,JoãoFélix
63,2023-03-01,Liverpool,Wolverhampton Wanderers,Alisson,IbrahimaKonaté,KonstantinosTsimikas,VirgilvanDijk,TrentAlexander-Arnold,Fabinho,StefanBajcetic,HarveyElliott,DiogoJota,MohamedSalah,DarwinNúñez,JoséSá,CraigDawson,MaximilianKilman,HugoBueno,NélsonSemedo,JoãoMoutinho,RúbenNeves,MatheusNunes,MarioLemina,PabloSarabia,RaúlJiménez
